"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Antsp_t","Year_t1","Recruit","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","Antsp_t1","NP_adult","NP_juv","MA","comments","X","antcount_t","antcount_t1","volume_t","volume_t1","logsize","ant_t","ant_t1","flower1_YN"
"73","T2","SJ12",0,2004,17,14,14,1,0,0,0,"0","vacant",2005,0,0,1,35,17,11,2,0,0,0,"0","vacant","",NA,NA,"","",0,0,872.315560146766,1795.94380030216,NA,"vacant","vacant",FALSE
"74","T2","SJ13",0,2004,23,22,22,5,0,0,0,"0","vacant",2005,0,0,1,24,20,15,1,0,0,0,"0","vacant","",NA,NA,"","",0,0,2914.35078498013,1924.22550032375,NA,"vacant","vacant",FALSE
"75","T2","SJ14",0,2004,20,10,10,2,0,0,0,"0","vacant",2005,0,0,1,29,13,4,0,0,0,0,"0","vacant","",NA,NA,"","",0,0,523.598775598299,548.535167286168,1,"vacant","vacant",FALSE
"76","T2","SJ16",0,2004,27,13,13,2,0,0,0,"0","vacant",2005,0,0,1,30,18,15,4,0,0,0,"0","vacant","",NA,NA,"","",0,0,1194.59060652752,2138.24649984955,NA,"vacant","vacant",FALSE
"77","T2","SJ17",0,2004,22,13,13,6,0,0,0,"0","vacant",2005,0,0,1,21,15,14,0,0,0,0,"0","vacant","",NA,NA,"","",0,0,973.370123837238,1155.90974698019,NA,"vacant","vacant",FALSE
"78","T2","SJ2",0,2004,22,19,19,1,0,0,0,"0","vacant",2005,0,0,1,25,18,9,3,0,0,0,"11","liom","",NA,NA,"","",0,11,2079.21073790084,1192.82346065987,NA,"vacant","liom",FALSE
"79","T2","SJ3",0,2004,13,3,3,2,0,0,0,"0","vacant",2005,0,0,1,16,2,2,0,0,0,0,"0","vacant","",NA,NA,"","",0,0,30.6305283725005,16.7551608191456,0.99999999999995,"vacant","vacant",FALSE
"80","T2","SJ9",0,2004,26,17,17,4,0,0,0,"2","C",2005,0,0,1,32,21,13,4,0,0,0,"6","crem","",NA,NA,"","",2,6,1967.16059992281,2421.12073836653,NA,"crem","crem",FALSE
"81","T3","AD1",0,2004,102,63,63,18,7,7,0,"2","L",2005,0,0,1,114,66,29,6,22,23,1,"3","unk","",NA,NA,"","",2,3,105986.340557832,67338.0750342887,NA,"liom","other",TRUE
"82","T3","AD10",0,2004,94,79,79,24,19,24,5,"22","L",2005,0,0,1,97,89,52,20,4,5,1,"12","liom","",NA,NA,"","",22,12,153585.658049922,126217.215499246,NA,"liom","liom",TRUE
"83","T3","AD12",0,2004,82,124,124,16,6,7,1,"0","vacant",2005,0,0,1,90,69,54,18,16,18,2,"7","liom","",NA,NA,"","",0,7,330085.045717577,89117.1661053,NA,"vacant","liom",TRUE
"84","T3","AD13",0,2004,87,92,92,19,17,18,1,"0","vacant",2005,0,0,1,88,85,49,14,8,8,0,"0","vacant","",NA,NA,"","",0,0,192780.691594884,103419.135761074,NA,"vacant","vacant",TRUE
"85","T3","AD15",0,2004,82,62,62,17,2,2,0,"0","vacant",2005,0,0,1,79,69,48,12,0,0,0,"0","vacant","",NA,NA,"","",0,0,82521.2614293943,70779.4934367555,NA,"vacant","vacant",FALSE
"86","T3","AD17",0,2004,83,100,100,10,30,30,0,"0","vacant",2005,0,0,1,98,98,45,26,1,4,3,"1","liom","",NA,NA,"","",0,1,217293.491873294,131161.624187068,NA,"vacant","liom",TRUE
"87","T3","AD18",0,2004,148,88,88,18,9,9,0,"4","L",2005,0,0,1,132,83,47,13,8,8,0,"7","liom","",NA,NA,"","",4,7,300051.419949259,146005.518575586,NA,"liom","liom",TRUE
"88","T3","AD19",0,2004,85,68,68,5,27,27,0,"0","vacant",2005,0,0,1,89,54,30,9,7,7,0,"17","liom","",NA,NA,"","",0,17,102897.631380578,41101.4566869153,NA,"vacant","liom",TRUE
"89","T3","AD20",0,2004,67,63,63,8,7,10,3,"0","vacant",2005,0,0,1,92,51,40,7,16,18,2,"2","liom","",NA,NA,"","",0,2,69618.4786017132,49863.0967983894,NA,"vacant","liom",TRUE
"90","T3","AD21",0,2004,102,86,86,14,14,14,0,"0","vacant",2005,0,0,1,97,72,58,9,6,6,0,"0","vacant","",NA,NA,"","",0,0,197499.363760576,107291.934104786,NA,"vacant","vacant",TRUE
"91","T3","AD22",0,2004,89,37,37,10,9,10,1,"0","vacant",2005,0,0,1,95,41,36,4,4,4,0,"0","vacant","",NA,NA,"","",0,0,31897.8992088362,36864.9535437025,NA,"vacant","vacant",TRUE
"92","T3","AD24",0,2004,100,85,85,5,13,18,5,"0","vacant",2005,0,0,1,112,81,55,11,12,12,0,"0","vacant","",NA,NA,"","",0,0,189150.057684885,135582.761348526,NA,"vacant","vacant",TRUE
"93","T3","AD25",0,2004,93,60,60,16,7,7,0,"2","L",2005,0,0,1,84,64,45,5,0,0,0,"15","liom","",NA,NA,"","",2,15,87650.4350351552,65319.2090552756,NA,"liom","liom",FALSE
"94","T3","AD28",0,2004,95,53,53,12,19,19,0,"0","vacant",2005,0,0,1,87,55,46,11,3,5,2,"0","vacant","",NA,NA,"","",0,0,69862.475631142,58085.8883199259,NA,"vacant","vacant",TRUE
"95","T3","AD3",0,2004,90,78,78,22,31,38,7,"22","L",2005,0,0,1,97,96,87,27,20,25,5,"45","liom","",NA,NA,"","",22,45,143350.872783302,212609.442676639,NA,"liom","liom",TRUE
"96","T3","AD30",0,2004,76,63,63,8,3,3,0,"12","L",2005,0,0,1,88,42,39,6,3,3,0,"34","liom","",NA,NA,"","",12,34,78970.2145332866,37788.6472337048,NA,"liom","liom",TRUE
"97","T3","AD5",0,2004,86,98,98,32,5,5,0,"18","L",2005,0,0,1,89,83,69,13,7,12,5,"12","liom","",NA,NA,"","",18,12,216231.633556381,134581.640489582,NA,"liom","liom",TRUE
"98","T3","AD6",0,2004,100,61,61,13,25,25,0,"36","L",2005,0,0,1,105,58,50,5,10,15,5,"51","liom","",NA,NA,"","",36,51,97415.5522000635,80157.7365563436,NA,"liom","liom",TRUE
"99","T3","AD7",0,2004,130,80,80,19,25,26,1,"12","L",2005,0,0,1,138,87,51,15,33,35,2,"33","liom","",NA,NA,"","",12,33,217817.090648892,172006.910173022,NA,"liom","liom",TRUE
"100","T3","AD8",0,2004,115,74,74,13,13,13,0,"14","L",2005,0,0,1,118,74,65,17,12,13,1,"25","liom","",NA,NA,"","",14,25,164865.546472636,149217.666164187,NA,"liom","liom",TRUE
"101","T3","LJ13",0,2004,41,23,23,2,0,0,0,"0","vacant",2005,0,0,1,50,24,22,5,0,0,0,"0","vacant","",NA,NA,"","",0,0,5678.16692197575,6924.5938072875,NA,"vacant","vacant",FALSE
"102","T3","LJ14",0,2004,57,54,54,7,0,0,0,"0","vacant",2005,0,0,1,70,54,30,5,2,3,1,"0","vacant","",NA,NA,"","",0,0,43514.1998448722,32326.988405439,NA,"vacant","vacant",TRUE
"103","T3","LJ17",0,2004,55,43,43,8,0,0,0,"17","L",2005,0,0,1,67,52,31,11,0,0,0,"26","liom","",NA,NA,"","",17,26,26623.6887422345,30209.2277076847,NA,"liom","liom",FALSE
"104","T3","LJ18",0,2004,73,56,56,12,0,0,0,"22","L",2005,0,0,1,90,60,31,14,0,0,0,"34","liom","",NA,NA,"","",22,34,59933.2102500837,48779.116433207,NA,"liom","liom",FALSE
"105","T3","LJ19",0,2004,71,42,42,9,0,0,0,"26","L",2005,0,0,1,72,44,35,2,0,0,0,"6","liom","",NA,NA,"","",26,6,32788.8025255167,29410.0196265808,NA,"liom","liom",FALSE
"106","T3","LJ2",0,2004,61,56,56,9,0,0,0,"28","L",2005,0,0,1,67,59,56,13,0,0,0,"15","liom","",NA,NA,"","",28,15,50081.1756884261,57993.4731360328,NA,"liom","liom",FALSE
"107","T3","LJ20",0,2004,49,37,37,11,0,0,0,"0","vacant",2005,0,0,1,52,32,25,3,0,0,0,"0","vacant","",NA,NA,"","",0,0,17561.7647329547,11057.6207424727,NA,"vacant","vacant",FALSE
"108","T3","LJ4",0,2004,71,63,63,26,0,0,0,"21","L",2005,0,0,1,76,67,52,14,8,8,0,"28","liom","",NA,NA,"","",21,28,73774.8056824125,70439.4814818513,NA,"liom","liom",TRUE
"109","T3","LJ6",0,2004,56,36,36,11,0,0,0,"18","L",2005,0,0,1,62,38,35,4,0,1,1,"4","unk","",NA,NA,"","",18,4,19000.3523689111,21624.4985325158,NA,"liom","other",TRUE
"110","T3","LJ8",0,2004,38,24,24,9,0,0,0,"0","vacant",2005,0,0,1,47,32,29,6,0,0,0,"0","vacant","",NA,NA,"","",0,0,5730.26500014778,11446.3273835075,NA,"vacant","vacant",FALSE
"111","T3","SJ10",0,2004,19,9,9,3,0,0,0,"0","vacant",2005,0,0,1,29,12,8,4,0,0,0,"0","vacant","",NA,NA,"","",0,0,402.909257822891,759.218224617533,1,"vacant","vacant",FALSE
"112","T3","SJ11",0,2004,17,23,23,5,0,0,0,"0","vacant",2005,0,0,1,17,23,7,1,0,0,0,"0","vacant","",NA,NA,"","",0,0,2354.36189447775,1001.38265833175,NA,"vacant","vacant",FALSE
"113","T3","SJ12",0,2004,28,20,20,3,0,0,0,"8","L",2005,0,0,1,35,25,17,2,0,0,0,"0","vacant","",NA,NA,"","",8,0,2932.15314335047,4040.87355067987,NA,"liom","vacant",FALSE
"114","T3","SJ13",0,2004,25,10,10,7,0,0,0,"0","vacant",2005,0,0,1,24,15,8,4,0,0,0,"0","vacant","",NA,NA,"","",0,0,654.498469497874,830.9512568745,1,"vacant","vacant",FALSE
"115","T3","SJ14",0,2004,25,31,31,7,0,0,0,"9","L",2005,0,0,1,29,32,18,2,0,0,0,"1","liom","",NA,NA,"","",9,1,6289.73029187456,4745.11390385958,NA,"liom","liom",FALSE
"116","T3","SJ15",0,2004,27,23,23,3,0,0,0,"0","vacant",2005,0,0,1,32,29,23,1,0,0,0,"0","vacant","",NA,NA,"","",0,0,3739.28065593525,5663.2443568712,NA,"vacant","vacant",FALSE
"117","T3","SJ19",0,2004,21,13,13,1,0,0,0,"0","vacant",2005,0,0,1,21,12,7,0,0,0,0,"0","vacant","",NA,NA,"","",0,0,929.126027299181,496.175289726338,NA,"vacant","vacant",FALSE
"118","T3","SJ3",0,2004,12,7,7,3,0,0,0,"0","vacant",2005,0,0,1,8,2,2,2,0,0,0,"0","vacant","",NA,NA,"","",0,0,153.9380400259,8.37758040957278,1,"vacant","vacant",FALSE
