"","beta0.1","beta0.2","beta1.1","beta1.2","sigma"
"167",-70.4499894290697,77.0719829568378,-169.016260028543,28.7223085641963,2.86136831607462e+307
"168",-4.88366780197411,67.9938702394109,-35.880340420352,87.245057659312,1.1446244509094e+308
"169",-7.81732828624896,67.821004237878,-52.9724403676043,76.5492082350456,9.77738131611594e+307
"170",-42.2091458035424,-34.5784511501807,-110.098200052822,63.4340911583163,1.88918376010113e+307
"171",-89.8875490874948,108.41324060359,-77.0145469964084,129.146556721164,6.13393910473365e+307
"172",-0.914805030346839,74.2940522464708,-17.2114100513906,84.7423867577128,8.19122424827853e+307
"173",-90.2406405216424,94.3770162338775,-196.629036745749,52.3905923144839,8.50617579397921e+307
"174",-13.936315762093,21.6775299795524,-126.16257873547,19.8198982708908,1.77584492410179e+308
"175",-25.9855949402013,-84.8065113729827,-47.184278755156,137.114606330309,3.43736067995903e+307
"176",-58.6791552277008,35.2800779361728,-191.46346644954,36.8105640747853,5.25172203027481e+307
"177",-23.0276646429651,12.2355756177464,-9.19547380389753,164.614063130014,7.20740882904056e+307
"178",-84.9355402274831,-1.93017416891926,-30.6777772232229,51.5657065218074,5.25653570312165e+307
"179",-28.4973456503223,61.5457029008777,-29.1908800154218,60.9923633508697,1.23985846406414e+308
"180",-15.3174528299844,71.4133518632167,-4.65977254887129,164.207839078925,8.28788816065218e+307
"181",-4.27299211875353,39.8662117256375,-67.7580014879169,12.2890705740805,5.59637157531211e+307
"182",-49.1572490241836,75.8355770513499,-19.6777063288386,86.2836056411087,7.47105749643779e+307
"183",-16.6179668717867,15.5247005121994,-5.57349677898904,17.7377543397899,4.87969341836187e+307
"184",-76.0876448649059,110.18103894347,-6.60560192774233,191.422220883168,5.99338607598234e+307
"185",-20.801517329399,11.7864944223397,-160.665299951164,4.9892791530617,8.2191162602612e+307
"186",-12.7487538093216,55.7513524290996,-73.0830421624587,32.0782142658033,9.48400333580739e+307
"187",-29.7396933505494,44.7163460965551,-39.2942173164784,29.5147817122059,1.68232570134979e+308
"188",-28.9720053442802,-4.92700045428161,-5.22567311454715,91.4790229288652,2.52429804428156e+307
"189",-5.72280564569108,107.228143946435,-29.7666221496697,32.2098667028094,6.04901380421008e+307
"190",-23.1041889731337,65.3367564452552,-1.42220248835485,94.0209089474379,1.2766275010299e+308
"191",-143.340029554877,-58.0569957433366,-35.164832782327,308.013840944523,2.54237815069748e+306
"192",7.17616868882032,89.0927965323295,-126.295550236919,55.1562141179937,8.95840791390049e+307
"193",-32.35033906414,-81.3400447976448,-36.0174943245735,58.3990533994908,7.55445970228296e+307
"194",-74.7698939237855,-142.265096415717,-184.805767720579,129.981733328488,2.9085819386393e+307
"195",-15.3174528299844,71.4133518632167,-4.65977254887129,164.207839078925,8.28788816065218e+307
"196",-32.8404130090882,-1.79363064175929,-4.12433721695297,103.649828951676,4.06418963167921e+307
"197",-51.726560606254,81.3080716506793,-41.4596328514067,193.642208089137,7.57741656673282e+307
"198",0.928386266747548,14.8125123766654,-54.7656405857588,22.4910240573772,1.78877935684553e+307
"199",-28.5323894016131,-16.4527052752909,-2.53029451487486,42.5960053231682,3.59813576564701e+306
"200",-31.131855206556,88.3368934160347,-91.9199924139933,42.9625362530949,1.0789697225098e+308
