"","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","w.11","w.12","w.13","beta0","beta1","u.1","u.2","u.3","u.4","u.5","u.6","u.7","u.8","u.9","u.10","u.11","u.12","u.13","u.14","u.15","u.16","u.17","u.18","u.19","sigma_w","sigma_u"
"18654",1.27281820293096,0.485605718841913,0.252432882441723,-1.31548641378235,0.0497492783392073,0.0246951183029156,0.20083277129321,0.129668265789608,-0.716783338509852,-0.899791213864561,0.00877384696518751,0.506615011488718,-0.513709547542298,-18.4978018894884,1.69597358910911,-0.381000317045619,-0.446645491228493,-0.149302719860363,0.314855683461836,-0.324446273380334,-0.856107106604959,0.0168833352269894,0.00303034492304219,-0.0754838555362757,-0.222444960003649,0.619693264604381,-0.202673924567595,0.213159222905102,0.868248177624405,0.19312568280646,-0.0764106258563396,0.329686991230024,-0.0310446526503265,-0.538635720871703,0.6338357470407,0.380439771845565
"20508",0.861894534801724,0.645450755756782,0.476055987681096,-1.98448929217805,-0.0329547210695435,0.0785473230378339,0.0719423364159139,-0.129257985939695,-0.895099049513586,-0.917317229769324,0.207579872497509,0.564407025658901,-0.95502444180805,-17.3723523690993,1.58443599453285,0.596115047961878,-0.355561237277057,-0.0160055696065287,0.623801984269887,-0.17828933541945,-0.652212085295086,0.0514890117392873,-0.111914987115825,0.123326286410463,0.0715137485518145,0.402121147074332,-0.162020302806492,0.194234882365269,-0.0534962903898799,0.39275901420589,-0.336089612901902,0.191177347686552,-0.00590458513143025,-0.309827456005817,1.18019810121566,0.284286860194008
"7783",0.97670257050299,0.321749186591161,0.089334956039806,-1.01375563605269,-0.0397143875581872,0.0400219676715497,-0.160819452579201,-0.10742183590588,-0.94415464176261,-1.24242989269255,0.435255319598373,0.0830885695446378,-0.741027942741262,-17.595343983564,1.61373882778112,-0.829595498760404,-0.455849305244144,-0.168369486565766,0.811651320000329,-0.133871115347802,-0.350384091021704,0.0192790832449738,0.2323074294573,0.0479718578449384,0.0545958170942657,-0.111799264922265,0.909915812234551,-0.474090731230574,-0.626806069512886,-0.466089529902036,-0.118951599166177,0.221958283695066,-0.248014050486641,-0.0986889196560156,0.951366831463531,0.48904961162628
"15781",0.690242722343357,0.28406489046956,0.474969260060405,-1.67671345749208,0.0519462845297703,-0.00131364159297043,-0.101730400495049,0.142433701688101,-0.910757062521005,-1.01379687143352,0.0550817764973849,0.534711107491263,-0.385411390602588,-17.7125508362914,1.61783247195969,0.00490731625421781,-0.225644296778232,0.222802404596777,0.647558669545475,-0.00225515243069019,-0.646049881337489,-0.0249197045437763,-0.193205094255272,-0.0362614394530335,0.00714278032621499,-0.0947746306979007,0.387485797388594,0.345849290112793,-0.34806864002558,0.177364803668348,0.230889679398819,0.811322329938765,0.105249497175826,-0.0525114077628307,0.602048961292587,0.451149192826829
"4398",0.82007725280915,0.59967450406578,0.918239597538659,-0.875752542038696,-0.0316658314098649,0.422768621187096,0.346176583985062,0.224232889801706,-0.527154558254431,-0.672784763457942,0.230226398853451,0.453839291238844,-1.42172334554548,-18.0844287357247,1.61305596643892,-0.0946200330981999,-0.137987045095007,0.225823040381893,0.832881306049697,0.0643198965869417,-0.269459852130415,0.19654447595859,0.0977944793752994,0.220955407378976,-0.198870904573617,0.255126834632005,0.276398341864193,-0.354869230501222,0.39687556062891,0.752359778027451,0.0837529016369647,0.396816475576146,-0.0068410768900948,-0.0407860030260035,0.609149216614979,0.385120285898409
"13983",1.20667338317681,0.923584786897001,0.61379506116227,-1.71485283884282,-0.180416641418856,0.00683326631298392,0.209313776176659,0.277439092660576,-0.739508611452851,-0.971030585301719,0.237841763834481,0.418146896260425,-1.05292533032988,-18.5242933785418,1.66754697821084,0.226887714663621,-0.0296920923978148,0.0804392303422387,0.935960749943439,0.278935772826031,-0.403855564636153,0.193186816426035,0.0556057049885745,0.230177382042162,0.0419495803690491,0.308949305398503,0.280853397318786,-0.0491202273619406,0.724639127695986,0.828305132345634,0.0283038597524275,0.671081046534596,-0.0265374274311539,-0.0332055734134757,0.63400958757585,0.501554807398321
"19053",0.762974630734315,0.776768147563175,0.349629983518421,-1.43055041846979,-0.36441569268914,-0.173769376641053,-0.0627534872942637,-0.226279492418813,-1.19884013507099,-1.20236821796186,-0.000508170138712629,0.242144220848014,-0.19445365000571,-17.2945933485653,1.60773131726065,-0.315237811927087,-0.350946762594824,0.140741228547321,0.584309610267615,-0.137518065746087,-0.433580083380335,-0.00971738428059998,-0.0774979356144548,0.0185956909645438,-0.432450809048986,-0.369345266119245,-0.433587290444865,0.0660725321622272,0.0632922998472655,-0.406450859382324,0.163687379859381,0.338845585434655,0.234023854397777,-0.0671481936160956,0.577274158175832,0.278241828847832
"7687",0.553746786817127,0.241241241511916,0.0731882693668853,-1.71711202604344,0.221277797335594,0.345810863528649,0.290477862388012,0.191519733296696,-0.821442959973483,-1.0198664745015,0.159146220359876,0.441585612949815,-1.32508726515249,-17.3970362030785,1.59467071415869,0.567154794897597,-0.493642947005591,-0.326303191569116,0.510365968690957,-0.0286537015404517,-0.552027569980203,-0.0318841566150674,-0.298331092060025,-0.129272018852573,-0.0543163193500591,-0.204919073812156,0.83554160404497,-0.322931424617525,0.176528112088716,0.370725463701619,0.734495647494606,0.394814316941402,0.101489445681323,-0.0536648881761544,1.19186177038328,0.468315952980594
"13913",1.16152310200239,0.590215985264694,0.640407764926995,-0.880492675612184,0.414186449736698,0.451823290802024,0.434527006760494,0.437686406723601,-0.543191725181033,-0.795192035196783,0.345189770971941,0.553457299407917,-0.093433539084947,-17.8029122630788,1.60623310414085,0.349536386358614,-0.0373966879045013,-0.283850643684086,0.503747046305707,-0.204264541472511,-0.500478543564519,0.214333661145436,-0.0790970935164228,0.136441241863399,-0.790822214546105,0.0287263115477883,0.37337264188251,0.837178893500136,0.893689602820681,0.199866880455448,-0.358101930042815,0.434699164000488,0.145291697154337,-0.155452813513049,0.766262513854485,0.355881019262484
"14178",0.809773270249964,0.587486334300795,0.2932226878024,-1.43293775053272,0.108651538877167,0.056470809085401,0.0572221330434699,0.155331928059995,-0.783075029054468,-0.920587111820957,0.234825956059127,0.514001847953331,-0.378908090339232,-17.728329130915,1.60626394734883,-0.566843768774947,0.0105078323796334,0.151189238042958,0.707270363271651,-0.121946696976627,-0.482041682901479,0.188632852275349,-0.107397474366206,0.0320342479904812,0.0012520941866363,-0.120992881055449,0.0780585308150342,-0.502724964318925,0.687628396053464,-0.848481011317547,0.328617919034843,0.479168072386001,0.136113778048962,-0.287132536492486,1.23827378298355,0.362743559285847
