"","beta0.1","beta0.2","beta0.3"
"22946",4.85716618316535,4.95845338187693,4.95153678832277
"23442",4.70798802224648,5.03604968107945,5.04627631571517
"13256",4.94726366075124,5.00383712353286,4.99314789513934
"6739",4.98936552599184,5.0579074401096,5.01903628172444
"16617",4.97807587495525,4.81818174789928,5.09905442880609
"4860",5.08037477810393,5.02035910566171,5.03945026226292
"3434",4.89548125404678,5.17494090013604,5.05694539422258
"19707",5.00750833676378,4.8775561100479,4.99717600744845
"25433",4.89645472938043,5.0167466043321,5.14167156082156
"10884",4.93265736494937,5.1044894510885,5.02029196771279
"14388",5.01187695176653,4.89672335520697,5.2091372761848
"6685",5.11922963095128,4.88434909133507,4.97735633606763
"13313",4.95280775095473,4.85620044101449,5.2135240032439
"2518",4.962452803471,5.13470462899891,5.02489725799766
"4436",4.97329176851819,5.09384848912969,5.12635275256879
"8171",4.80994433218349,4.94277696738947,5.21744191630836
"24020",5.04356128641693,5.07645432826229,5.15176457713633
"24413",4.93899275705541,4.98103652583392,5.1088828638624
"9339",4.83944530682155,4.93367309475939,5.10191480158024
"21835",5.15821462573094,5.00096541457948,5.0729461497289
"23876",5.01526867410709,4.8889723195833,5.12479377844998
"7527",4.80991207557567,5.01032562118023,5.07582303015956
"6854",4.85719267083545,5.04182797196238,5.14282432921218
"10268",5.06462484928252,4.93102335733004,5.04587591815382
"9133",5.14146510068355,4.93746116992135,5.1402776600417
"9609",5.01032190840917,4.99020921798101,5.20349172794673
"22281",4.99934656633804,4.91261898451104,5.09869757602251
"9110",4.99043210475919,4.90067649718656,5.12317197926819
"21794",4.98430678352415,4.73163283289591,5.08413239522636
"3317",4.92398758280698,5.06423883692752,5.23643521021474
"3260",4.91657886152182,5.04960585938442,5.10377788716351
"3831",5.08949470742337,4.99045612782167,5.03589110498757
"4138",5.08982155259721,4.98998001124646,5.11710701009948
"19846",5.06763438147883,4.90982298162703,5.09527064927849
"20371",4.99251095952153,5.00356180928322,5.10776414377261
"7822",4.9826587470899,5.02096254651302,5.0781464408357
"8461",5.14769982785146,4.96107404500714,4.99396610217233
"21542",5.12051895350701,5.05988182289989,5.06003248248631
"13084",5.24994839544375,4.92489295784566,4.95507712107242
"15420",5.17825692918375,4.89791542036228,5.15305699462896
"14200",5.02278949230917,5.14604196097266,5.07528084611557
"23257",4.95015677629279,4.96609292560832,5.11280962070511
"23326",4.83799926360052,4.91674949778684,5.00057646041245
"23834",4.99867281223704,5.03769893673461,5.09279509005357
"24271",4.91107997576123,4.93335542944056,5.0891204081715
"5773",5.098032866481,4.84438270666945,5.03753442671884
"18973",5.05754569614485,4.98960346647766,4.91500773461275
"9662",4.95991867790148,4.91733861007703,5.23106158988344
"13425",5.05055313028982,5.0807388015751,5.01577944982269
"12742",5.00889278121376,4.82619953900856,5.03956313616396
"24228",5.0205395206545,5.07571522051253,5.02339995924542
"24514",4.9132181288986,5.11841096664615,5.05182689170582
"2172",4.80149096761394,5.05605454557967,5.01545497519779
"21774",5.11358182237843,5.12239628992211,5.15153161734264
"3330",5.01692686041398,4.86024140265234,5.09309181995685
"13922",5.05810071502351,5.10806436919,5.05079322641692
"21088",5.09496907269882,5.01587118069267,5.02735507692166
"15592",4.96126978213862,4.97714579907327,5.08298081624591
"12457",5.08265231036,5.04809830585697,5.08809320645257
"13195",4.93071892183879,4.94261514321179,4.95349688980936
"3112",4.7131833312378,4.93055673840341,5.0756835182701
"13447",4.9972859658524,4.99751391483192,5.18532927076752
"216",5.03491581581274,4.99439768901414,5.13572170200416
"12494",4.92376348686883,4.96426261913405,4.9829861648492
"11747",4.75008821121822,4.98717940389627,5.08203664632045
"12642",4.89247978115959,5.15904211232958,5.11649457778812
"11881",4.88360337232088,4.98692896458785,4.91008826463214
"4780",4.87869429261501,4.86104424979183,5.00706647041142
"4539",4.92745759319628,5.00145062008528,4.98397036106215
"757",5.02701636442895,5.04307249301939,5.0306679232998
"18571",4.98578177845813,4.93804926103063,5.05808530861333
"3886",4.78142281725221,4.97284243116897,5.06894271769591
"3957",4.90548201857426,5.02417631430657,5.05594343249769
"23461",5.11771875306905,5.02919682471981,5.02132530164961
"1366",5.14444554291243,4.83355057802656,5.00612898501151
"7053",4.92684739662912,5.18873246218273,5.01778514627082
"5484",5.17140530575934,5.05537065352876,5.19878988288577
"22206",5.0783471358823,4.96309749855137,5.09923344469898
"12029",4.94323754676169,5.09793759060454,5.09128700806082
"12087",4.87270544047571,4.79099702229554,5.08776107734949
"8851",4.9347876423295,5.16864910844221,5.03247727282082
"3090",4.99236473579132,4.99274335487275,5.07238287609248
"1819",5.00929739652188,5.00852071984792,5.13621059419525
"10948",4.90036911968311,5.13555590294146,5.10207296935995
"2107",4.75148117505355,4.81439401687147,5.29572598438992
"19955",5.00707313991386,4.96412533984264,5.16844677992645
"17303",4.99021932570658,4.95679052223169,5.05717439504028
