"","cremother","cremcrem","cremliom","otherother","othercrem","otherliom","liomother","liomcrem","liomliom"
"6",0.0430816943980167,0.81096634443085,0.159419041734751,0.0832829303390175,0.468395000639563,0.468395000639563,0.0234180143043761,0.130863345250634,0.845718640444989
"7",0.0435329981038188,0.809553329129049,0.16052182817587,0.0838904715807604,0.466107100607219,0.466107100607219,0.0235252937450627,0.129873287985131,0.846601418269806
"8",0.0439884426334411,0.808131995047339,0.161630086969891,0.084500593752651,0.463820215734597,0.463820215734597,0.0236328542300492,0.128889573539127,0.847477572230824
"9",0.0444480554492041,0.806702328540111,0.162743812884662,0.0851132888063278,0.461534441024881,0.461534441024881,0.0237406963993487,0.127912178187393,0.848347125413258
"10",0.0449118640105381,0.805264316524756,0.163863000127015,0.0857285485382107,0.45924987133045,0.45924987133045,0.0238488209008311,0.126941078033646,0.849210101065523
"11",0.0453798957702808,0.803817946490474,0.164987642336505,0.0863463645911275,0.456966601337218,0.456966601337218,0.0239572283902006,0.125976249015318,0.850066522594481
"12",0.0458521781709213,0.802363206507075,0.166117732579192,0.0869667284559754,0.454684725549031,0.454684725549031,0.024065919530974,0.125017666908296,0.85091641356073
"13",0.0463287386407917,0.800900085233795,0.167253263341441,0.0875896314734185,0.452404338272118,0.452404338272118,0.0241748949944572,0.124065307331608,0.851759797673935
"14",0.0468096045902059,0.799428571928102,0.168394226523769,0.0882150648356184,0.450125533599609,0.450125533599609,0.0242841554597225,0.123119145752076,0.852596698788202
"15",0.0472948034075461,0.797948656454502,0.169540613434735,0.0888430195879997,0.447848405396119,0.447848405396119,0.0243937016135844,0.122179157488916,0.853427140897499
"16",0.047784362455297,0.796460329293336,0.170692414784861,0.0894734866310471,0.445573047282405,0.445573047282405,0.0245035341505757,0.121245317718302,0.854251148131122
"17",0.048278309066029,0.794963581549569,0.17184962068061,0.0901064567221359,0.443299552620107,0.443299552620107,0.0246136537729229,0.120317601477879,0.855068744749198
"18",0.0487766705383294,0.793458404961569,0.173012220618403,0.090741920477393,0.441028014496567,0.441028014496567,0.0247240611905207,0.119395983671235,0.855879955138244
"19",0.0492794741326832,0.791944791909864,0.174180203478691,0.09137986837359,0.438758525709746,0.438758525709746,0.0248347571209071,0.118480439072333,0.85668480380676
"20",0.0497867470673031,0.790422735425888,0.175353557520079,0.0920202907500645,0.436491178753224,0.436491178753224,0.0249457422892373,0.117570942329885,0.857483315380877
"21",0.0502985165139095,0.788892229200702,0.176532270373503,0.0926631778106729,0.434226065801315,0.434226065801315,0.0250570174282573,0.116667467971698,0.858275514600044
"22",0.050814809593461,0.78735326759369,0.177716329036471,0.09330851962577,0.431963278694272,0.431963278694272,0.0251685832782776,0.115769990408959,0.859061426312764
"23",0.0513356533718358,0.785805845641229,0.178905719867358,0.093956306134217,0.429702908923615,0.429702908923615,0.0252804405871462,0.114878483940481,0.859841075472372
"24",0.0518610748554646,0.78424995906533,0.180100428579773,0.094606527145417,0.427445047617561,0.427445047617561,0.0253925901102212,0.113992922756911,0.860614487132868
"25",0.0523911009869156,0.78268560428224,0.181300440236985,0.0952591723413757,0.425189785526589,0.425189785526589,0.025505032610343,0.113113280944875,0.861381686444782
"26",0.0529257586404319,0.781112778411014,0.182505739246426,0.0959142312787881,0.422937213009113,0.422937213009113,0.0256177688578068,0.112239532491092,0.862142698651101
"27",0.0534650746174224,0.779531479282038,0.18371630935426,0.0965716933911499,0.420687420017299,0.420687420017299,0.0257307996303342,0.111371651286437,0.862897549083229
"28",0.0540090756419067,0.777941705445517,0.184932133640033,0.0972315479908924,0.418440496083005,0.418440496083005,0.0258441257130445,0.110509611129953,0.863646263157003
"29",0.0545577883559142,0.776343456179908,0.186153194511397,0.0978937842715398,0.416196530303867,0.416196530303867,0.0259577478984259,0.109653385732825,0.864388866368749
"30",0.0551112393148393,0.774736731500308,0.187379473698918,0.0985583913098899,0.413955611329522,0.413955611329522,0.0260716669863067,0.108802948722303,0.865125384291391
"31",0.0556694549827516,0.773121532166786,0.188610952250968,0.0992253580682144,0.411717827347983,0.411717827347983,0.0261858837838255,0.107958273645576,0.865855842570599
"32",0.0562324617276643,0.771497859692656,0.189847610528703,0.0998946733964809,0.409483266072161,0.409483266072161,0.0263003991054021,0.107119333973607,0.866580266920991
"33",0.0568002858167591,0.769865716352692,0.191089428201134,0.100566326034594,0.40725201472655,0.40725201472655,0.0264152137727073,0.106286103104914,0.867298683122379
"34",0.0573729534115704,0.768225105191271,0.192336384240286,0.101240304614654,0.405024160034064,0.405024160034064,0.0265303286146331,0.10545855436931,0.868011117016057
"35",0.0579504905631288,0.76657603003046,0.193588456916458,0.101916597663235,0.402799788203044,0.402799788203044,0.0266457444672623,0.104636661031593,0.868717594501145
"36",0.058532923207065,0.764918495478021,0.194845623793584,0.102595193603679,0.400578984914429,0.400578984914429,0.0267614621738378,0.103820396295191,0.869418141530971
