"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Antsp_t","Year_t1","Recruit","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","Antsp_t1","NP_adult","NP_juv","MA","comments","X","antcount_t","antcount_t1","volume_t","volume_t1","ant_t","ant_t1","logsize_t","logsize_t1","flower1_YN","occ_t","occ_t1"
"87","T3","AD18",0,2004,148,88,88,18,9,9,0,4,"L",2005,0,0,1,132,83,47,13,8,8,0,7,"liom","",NA,NA,"","",4,7,300051.419949259,146005.518575586,"liom","liom",12.6117091387819,11.891399698439,TRUE,"occ","occ"
"88","T3","AD19",0,2004,85,68,68,5,27,27,0,0,"vacant",2005,0,0,1,89,54,30,9,7,7,0,17,"liom","",NA,NA,"","",0,17,102897.631380578,41101.4566869153,"vacant","liom",11.5414899029039,10.6237988423603,TRUE,"vac","occ"
"89","T3","AD20",0,2004,67,63,63,8,7,10,3,0,"vacant",2005,0,0,1,92,51,40,7,16,18,2,2,"liom","",NA,NA,"","",0,2,69618.4786017132,49863.0967983894,"vacant","liom",11.1507853082354,10.8170364650243,TRUE,"vac","occ"
"90","T3","AD21",0,2004,102,86,86,14,14,14,0,0,"vacant",2005,0,0,1,97,72,58,9,6,6,0,0,"vacant","",NA,NA,"","",0,0,197499.363760576,107291.934104786,"vacant","vacant",12.1934906418527,11.5833087543561,TRUE,"vac","vac"
"91","T3","AD22",0,2004,89,37,37,10,9,10,1,0,"vacant",2005,0,0,1,95,41,36,4,4,4,0,0,"vacant","",NA,NA,"","",0,0,31897.8992088362,36864.9535437025,"vacant","vacant",10.370295431082,10.5150166102494,TRUE,"vac","vac"
"92","T3","AD24",0,2004,100,85,85,5,13,18,5,0,"vacant",2005,0,0,1,112,81,55,11,12,12,0,0,"vacant","",NA,NA,"","",0,0,189150.057684885,135582.761348526,"vacant","vacant",12.1502959350301,11.8173375177087,TRUE,"vac","vac"
"93","T3","AD25",0,2004,93,60,60,16,7,7,0,2,"L",2005,0,0,1,84,64,45,5,0,0,NA,15,"liom","",NA,NA,"","",2,15,87650.4350351552,65319.2090552756,"liom","liom",11.3811118536589,11.0870414382431,FALSE,"occ","occ"
"94","T3","AD28",0,2004,95,53,53,12,19,19,0,0,"vacant",2005,0,0,1,87,55,46,11,3,5,2,0,"vacant","",NA,NA,"","",0,0,69862.475631142,58085.8883199259,"vacant","vacant",11.1542839547662,10.9696780272786,TRUE,"vac","vac"
"95","T3","AD3",0,2004,90,78,78,22,31,38,7,22,"L",2005,0,0,1,97,96,87,27,20,25,5,45,"liom","",NA,NA,"","",22,45,143350.872783302,212609.442676639,"liom","liom",11.8730505597708,12.2672121591277,TRUE,"occ","occ"
"96","T3","AD30",0,2004,76,63,63,8,3,3,0,12,"L",2005,0,0,1,88,42,39,6,3,3,0,34,"liom","",NA,NA,"","",12,34,78970.2145332866,37788.6472337048,"liom","liom",11.2768260291308,10.5397639987646,TRUE,"occ","occ"
"97","T3","AD5",0,2004,86,98,98,32,5,5,0,18,"L",2005,0,0,1,89,83,69,13,7,12,5,12,"liom","",NA,NA,"","",18,12,216231.633556381,134581.640489582,"liom","liom",12.2841054896561,11.8099262863662,TRUE,"occ","occ"
"98","T3","AD6",0,2004,100,61,61,13,25,25,0,36,"L",2005,0,0,1,105,58,50,5,10,15,5,51,"liom","",NA,NA,"","",36,51,97415.5522000635,80157.7365563436,"liom","liom",11.4867411503961,11.2917516793475,TRUE,"occ","occ"
