"","vacvac","vaccrem","vacliom","cremvac","cremcrem","cremliom","liomvac","liomcrem","liomliom"
"164",0.416364900274305,0.132576224097444,0.451058875628251,0.345694930381277,0.0321849964690309,0.284547679332807,0.198214055836887,0.0304869553729025,0.77129898879021
"165",0.409594917675841,0.133220893980318,0.457184188343841,0.340060011162102,0.032340167865548,0.288399911681768,0.193558915535828,0.0304101832410338,0.776030901223138
"166",0.402855894814282,0.133842412844416,0.463301692341302,0.334465904028667,0.0324911293209707,0.292259697860886,0.188986918739179,0.0303294022525169,0.780683679008304
"167",0.396150248212467,0.134440530249576,0.469409221537958,0.328913900045119,0.032637841747513,0.296126195866113,0.184497804704618,0.0302447194041624,0.785257475891219
"168",0.389480346827908,0.135015019144588,0.475504634027504,0.32340524742028,0.0327802693051912,0.299998569236345,0.180091251174599,0.0301562421510352,0.789752506674365
"169",0.382848508849718,0.135565676026801,0.481585815123482,0.317941150624264,0.0329183794044823,0.303875987906262,0.175766877027506,0.0300640782397236,0.79416904473277
"170",0.37625699864963,0.136092321045163,0.487650680305206,0.312522769596218,0.0330521427032791,0.307757629033568,0.171524244941096,0.0299683355479801,0.798507419510923
"171",0.369708023894941,0.136594798047142,0.493697178057917,0.307151219043382,0.0331815330982571,0.311642677799114,0.167362864059769,0.0298691219308926,0.802768014009338
"172",0.363203732830328,0.137072974570165,0.499723292599507,0.301827567831393,0.0333065277107834,0.315530328178479,0.163282192657665,0.0297665450737077,0.806951262268628
"173",0.35674621173472,0.137526741778487,0.505727046486793,0.296552838465463,0.0334271068675119,0.319419783683724,0.159281640790071,0.0296607123513981,0.81105764685853
"174",0.35033748255845,0.137956014346585,0.511706503094965,0.291328006661742,0.0335432540758244,0.323310258074171,0.155360572926095,0.0295517306950336,0.815087696378871
"175",0.343979500745118,0.138360730290389,0.517659768964493,0.286154001007951,0.0336549559942891,0.327200976035165,0.151518310556037,0.0294397064649836,0.81904198297898
"176",0.337674153241652,0.138740850747876,0.523584996010472,0.28103170271206,0.0337622023983191,0.331091173823919,0.147754134767392,0.0293247453309571,0.822921119901651
"177",0.331423256699202,0.13909635971071,0.529480383590088,0.275961945437564,0.0338649861412254,0.334980099881688,0.144067288783893,0.0292069521588537,0.826725759057253
